line_name,from_stop_id,to_stop_id,avg_seconds,num_samples
10,U237Z4P,U237Z6P,60,6
10,U237Z6P,U901Z2P,180,7
10,U901Z2P,U1040Z2P,120,6
10,U1040Z2P,U25Z2P,120,6
10,U25Z2P,U805Z2P,60,6
10,U805Z2P,U254Z2P,60,6
10,U254Z2P,U240Z2P,120,7
10,U240Z2P,U289Z2P,60,6
10,U289Z2P,U580Z2P,60,6
10,U580Z2P,U567Z2P,60,6
10,U567Z2P,U865Z2P,120,6
10,U865Z2P,U394Z2P,60,6
10,U394Z2P,U395Z2P,60,6
10,U395Z2P,U113Z2P,60,6
10,U113Z2P,U236Z2P,120,6
10,U651Z1P,U467Z1P,60,6
10,U467Z1P,U740Z1P,60,6
10,U740Z1P,U78Z1P,60,6
10,U314Z1P,U676Z1P,60,6
10,U864Z5P,U333Z1P,60,1
10,U333Z1P,U718Z1P,60,1
10,U676Z2P,U314Z2P,60,7
10,U314Z2P,U78Z2P,120,7
10,U78Z2P,U740Z2P,60,7
10,U740Z2P,U651Z2P,120,7
10,U471Z2P,U779Z2P,60,7
10,U779Z2P,U861Z2P,120,6
10,U861Z2P,U54Z2P,60,6
10,U54Z2P,U870Z2P,120,6
10,U514Z2P,U249Z2P,120,6
10,U249Z2P,U675Z2P,60,6
10,U675Z2P,U676Z2P,60,6
10,U921Z12P,U469Z2P,120,7
10,U469Z2P,U34Z2P,120,6
10,U34Z2P,U1074Z1P,180,6
10,U1074Z1P,U529Z4P,180,6
10,U529Z4P,U471Z2P,60,6
10,U476Z2P,U744Z2P,180,7
10,U744Z2P,U851Z2P,60,7
10,U851Z2P,U540Z2P,60,6
10,U540Z2P,U518Z2P,60,6
10,U518Z2P,U118Z2P,120,6
10,U118Z2P,U515Z2P,60,6
10,U515Z2P,U921Z4P,120,6
10,U921Z4P,U921Z12P,60,6
10,U240Z1P,U254Z1P,60,7
10,U254Z1P,U805Z1P,60,7
10,U805Z1P,U25Z1P,120,6
10,U25Z1P,U1040Z1P,180,6
10,U1040Z1P,U901Z1P,60,6
10,U901Z1P,U237Z5P,120,6
10,U237Z5P,U237Z1P,120,7
10,U237Z1P,U739Z2P,120,6
10,U739Z2P,U190Z2P,120,6
10,U190Z2P,U476Z2P,120,6
10,U612Z1P,U47Z1P,60,6
10,U47Z1P,U236Z1P,60,6
10,U236Z1P,U113Z1P,60,7
10,U113Z1P,U395Z1P,60,7
10,U395Z1P,U394Z1P,120,6
10,U394Z1P,U865Z1P,60,6
10,U865Z1P,U567Z1P,60,6
10,U567Z1P,U580Z1P,60,6
10,U580Z1P,U289Z1P,120,6
10,U289Z1P,U240Z1P,60,6
10,U236Z2P,U47Z2P,60,6
10,U47Z2P,U612Z2P,120,6
11,U751Z1P,U183Z1P,120,7
11,U183Z1P,U550Z1P,60,7
11,U550Z1P,U376Z1P,120,6
11,U376Z1P,U559Z1P,60,6
11,U559Z1P,U152Z1P,60,6
11,U152Z1P,U482Z1P,180,6
11,U482Z1P,U504Z1P,60,6
11,U504Z1P,U560Z1P,120,7
11,U560Z1P,U45Z1P,60,6
11,U45Z1P,U190Z13P,60,6
11,U190Z13P,U476Z2P,120,6
11,U476Z2P,U744Z2P,180,6
11,U744Z2P,U851Z2P,60,6
11,U851Z2P,U540Z2P,60,7
11,U540Z2P,U518Z2P,60,7
11,U518Z2P,U118Z2P,120,6
11,U118Z2P,U515Z2P,60,6
